,NAME,POPULATION,POVERTY_COUNT,CRIMES_COUNT,MEDIAN_INCOME,UNEMPLOYMENT
124,Census Tract 95.04,3464,399,3,83487,3.3
125,Census Tract 95.08,3584,424,3,60638,12.2
126,Census Tract 95.09,3246,145,0,68750,7.7
127,Census Tract 96.01,2511,898,19,30948,27.4
128,Census Tract 96.02,3705,1437,21,26712,23.6
129,Census Tract 96.03,4040,643,31,46353,14.8
130,Census Tract 96.04,2343,227,3,62773,5.9
131,Census Tract 99.01,2711,257,2,96518,6.3
132,Census Tract 99.02,3085,426,4,57377,11.7
133,Census Tract 99.03,2056,318,11,51023,12.6
134,Census Tract 99.04,2970,972,20,32306,15.5
135,Census Tract 99.05,2926,780,18,45094,20.2
136,Census Tract 99.06,1630,400,6,45074,16.4
137,Census Tract 99.07,2955,714,22,31506,20.8
138,Census Tract 101,2861,442,16,94250,4.9
139,Census Tract 102,2849,153,7,109844,1.3
140,Census Tract 105,3730,903,4,79063,8.6
141,Census Tract 106,7805,1045,21,107607,2.1
142,Census Tract 107,1756,308,24,73688,4.1
143,Census Tract 108,6356,524,5,45278,8
144,Census Tract 110,4188,262,1,84375,5.3
145,Census Tract 111,5571,822,29,79628,11
146,Census Tract 14.01,3548,171,0,122419,4.4
147,Census Tract 14.02,3443,220,0,113991,3
148,Census Tract 15,6186,165,1,202431,5.5
149,Census Tract 16,4688,120,4,169044,3.9
150,Census Tract 17.02,3346,163,9,84924,6.3
151,Census Tract 18.03,4328,979,2,52606,5.4
152,Census Tract 18.04,5879,1419,11,38564,6.1
153,Census Tract 19.01,4315,479,2,86927,6.8
154,Census Tract 19.02,2605,247,2,84615,9.4
155,Census Tract 20.01,3502,453,1,63424,5.2
156,Census Tract 21.01,5050,612,15,62139,4.7
157,Census Tract 21.02,5223,861,5,83167,9.9
158,Census Tract 73.04,3913,1264,28,31514,21.9
159,Census Tract 74.03,2790,1009,13,26419,7.9
160,Census Tract 74.04,3947,1060,15,52100,9.5
161,Census Tract 74.06,3474,1863,8,23542,13.3
162,Census Tract 74.07,3164,690,16,40079,12.6
163,Census Tract 74.08,3423,1663,19,22879,25.6
164,Census Tract 74.09,4392,1339,19,37153,24.1
165,Census Tract 75.02,5342,2287,20,27004,17.9
166,Census Tract 95.05,3473,287,6,81169,9.4
167,Census Tract 95.07,2005,400,2,73750,20.1
168,Census Tract 97,3313,876,12,39750,26.2
169,Census Tract 98.01,2275,882,10,21088,26.1
170,Census Tract 98.02,2010,1114,5,19342,33.1
171,Census Tract 98.03,3071,1062,9,31667,23.9
172,Census Tract 98.04,2993,901,16,39417,22.5
173,Census Tract 98.07,3617,658,18,49457,11.1
174,Census Tract 98.10,2898,1062,19,30822,20.2
175,Census Tract 98.11,4992,1856,34,31432,22.1
176,Census Tract 103,4008,382,3,91758,7.9
177,Census Tract 104,4829,1185,30,38037,23
178,Census Tract 109,3819,1242,9,41660,14.1
